,Fold selected features,Fold nb of features
Fold 64,"['ACE2', 'ACP5', 'ACP6', 'ADCYAP1R1', 'ADGRG1', 'ALPP', 'AMIGO2', 'AOC1', 'AXL', 'BAIAP2', 'BSG', 'CA6', 'CCL15', 'CCL20', 'CD163', 'CD164', 'CD200R1', 'CD79B', 'CDH2', 'CDHR1', 'CHI3L1', 'CLUL1', 'CPA2', 'CPM', 'CRELD2', 'CRHBP', 'CRTAC1', 'CTRB1', 'CTSF', 'CTSH', 'CTSL', 'CTSV', 'CXADR', 'DDR1', 'DKKL1', 'DLL1', 'DSG2', 'ENPP7', 'FBP1', 'FCGR2B', 'FCN2', 'FCRL1', 'FCRL5', 'FCRLB', 'FGF21', 'GDF15', 'GFRA2', 'GGT5', 'GH2', 'GNLY', 'GPA33', 'HDGF', 'IGF2R', 'IGFBPL1', 'IGSF8', 'IL17C', 'IL17D', 'IL5RA', 'IL6R', 'ISM1', 'ITGB6', 'JCHAIN', 'KIR2DL3', 'KLB', 'KLK1', 'KLK10', 'KLRB1', 'KLRD1', 'LAMA4', 'LGALS1', 'LHB', 'LTBP3', 'LY9', 'LY96', 'LYPD3', 'MASP1', 'MDGA1', 'MET', 'MMP13', 'MUC13', 'MZB1', 'NCLN', 'NINJ1', 'NPTN', 'NRP1', 'NTRK3', 'PCOLCE', 'PDGFC', 'PDGFRA', 'PLAU', 'PLIN1', 'PM20D1', 'PNLIPRP2', 'PON3', 'PRSS8', 'RANGAP1', 'RELT', 'S100A16', 'SELPLG', 'SIGLEC10', 'SIGLEC9', 'SLAMF7', 'SMOC2', 'SMPDL3A', 'SPINK6', 'SPINT1', 'SRP14', 'TDGF1', 'THBS2', 'THPO', 'TMPRSS5', 'TMSB10', 'TNFRSF10A', 'TNFRSF13B', 'TNFRSF13C', 'TNFRSF8', 'TNFSF12', 'ULBP2', 'VTCN1', 'VWA1', 'XPNPEP2']",121
Fold 65,"['ADAM15', 'ADAMTS13', 'ADAMTS15', 'ALPP', 'ANGPTL2', 'ANXA3', 'B4GAT1', 'BST1', 'CAPG', 'CASP1', 'CCL15', 'CCL17', 'CCL20', 'CCL23', 'CEACAM3', 'CEACAM5', 'CELA3A', 'CHL1', 'CLC', 'CLEC10A', 'CNTN1', 'CPA2', 'CRTAC1', 'CSF1', 'CTRB1', 'CTSF', 'CTSH', 'CXCL13', 'DKK4', 'DKKL1', 'FABP2', 'FBP1', 'FCGR2B', 'FGF21', 'FOSB', 'FUCA1', 'FUS', 'GFRA2', 'GGT1', 'GH2', 'GPC5', 'HAVCR1', 'HCLS1', 'HEBP1', 'HLA-DRA', 'HPGDS', 'HSPB1', 'IFNGR2', 'IGF2R', 'IL13', 'IL16', 'IL18RAP', 'IL1R1', 'IL22RA1', 'IL33', 'ISM1', 'KCNIP4', 'KIR2DL3', 'KLK1', 'KLK10', 'KLK12', 'KLK14', 'LAMP3', 'LILRB1', 'LSP1', 'LTA', 'LYN', 'MDGA1', 'MGMT', 'MME', 'MSLN', 'MTPN', 'MUC13', 'NAAA', 'NCLN', 'NPTN', 'PIGR', 'PM20D1', 'PRL', 'PTPRM', 'QPCT', 'RANGAP1', 'RBP2', 'RET', 'SCARB1', 'SCP2', 'SFTPA2', 'SIGLEC9', 'SMOC2', 'SMPDL3A', 'SPINK6', 'SPINT1', 'SRP14', 'SSB', 'TDGF1', 'THPO', 'TIGAR', 'TINAGL1', 'TMPRSS5', 'TNC', 'TNFRSF1B', 'TNFRSF4', 'TNFRSF8', 'ULBP2', 'VTCN1', 'XPNPEP2']",106
Fold 66,"['ACE2', 'ACP5', 'ADAMTS13', 'ADAMTS15', 'AMY2A', 'AMY2B', 'AOC1', 'ATP6V1D', 'BAIAP2', 'C19orf12', 'CA5A', 'CALB2', 'CCL15', 'CCL17', 'CCL20', 'CD209', 'CD27', 'CD5', 'CDHR1', 'CELA3A', 'CES2', 'CHIT1', 'CHL1', 'CLPS', 'CLUL1', 'CPA2', 'CPVL', 'CRTAC1', 'CTRB1', 'CTSF', 'CTSH', 'CTSS', 'CXCL14', 'CXCL8', 'DKKL1', 'DLL1', 'DPT', 'ECE1', 'ENPP7', 'ERBB3', 'ERBB4', 'FCN2', 'FCRL5', 'FOLR1', 'FUS', 'GFAP', 'GFRA2', 'GGT1', 'GGT5', 'GH2', 'GLB1', 'HBQ1', 'HCLS1', 'HDGF', 'HLA-DRA', 'ICAM1', 'ICAM5', 'IGF2R', 'IGFBPL1', 'IL13', 'IL17C', 'IL1RAP', 'IL24', 'IL2RA', 'INHBC', 'ISM1', 'KCNIP4', 'KLK1', 'KLK10', 'KRT5', 'LAMA4', 'LEP', 'LGALS1', 'LHB', 'LRRC25', 'LTA', 'LY96', 'LYPD1', 'LYPD3', 'MAGED1', 'MARCO', 'MASP1', 'MDGA1', 'MET', 'MILR1', 'MME', 'MMP13', 'MSLN', 'MSR1', 'MUC13', 'MZB1', 'NAMPT', 'NINJ1', 'NPTN', 'NRP1', 'NRTN', 'NTF3', 'NTRK3', 'NXPH1', 'PCDH1', 'PDGFC', 'PIGR', 'PLA2G7', 'PM20D1', 'PNLIPRP2', 'PON3', 'PPY', 'PRSS8', 'PSIP1', 'PTH1R', 'RANGAP1', 'RARRES1', 'REG4', 'REN', 'S100A16', 'SAMD9L', 'SELPLG', 'SH2D1A', 'SIGLEC7', 'SIGLEC9', 'SIRT5', 'SLC39A5', 'SMOC2', 'SPINK6', 'SPINT1', 'SRP14', 'TDGF1', 'TFRC', 'THPO', 'TLR3', 'TMPRSS5', 'TMSB10', 'TNC', 'TNFRSF8', 'TPT1', 'TSLP', 'TSPAN1', 'TXLNA', 'ULBP2', 'VEGFA', 'WFIKKN1', 'WIF1', 'XPNPEP2']",143
Fold 67,[],0
Fold 68,[],0
Fold 69,"['ANGPTL2', 'CCL20', 'CDHR1', 'CEACAM3', 'CES2', 'CRTAC1', 'CTSL', 'DKKL1', 'DLL1', 'DPT', 'DSG4', 'FABP4', 'FGF21', 'GGT5', 'HDGF', 'HLA-DRA', 'IL11', 'KCNIP4', 'MDGA1', 'MUC13', 'MZB1', 'NDRG1', 'NPTN', 'PDGFC', 'PPY', 'TCL1A', 'TDGF1', 'TFPI2', 'TNFRSF13C', 'XPNPEP2']",30
Fold 70,"['CDCP1', 'DSG4', 'FBP1', 'GDF15', 'GRN', 'LGALS1', 'MZB1', 'PON3']",8
Fold 71,"['CCL7', 'GDF15', 'MZB1']",3
Fold 72,"['ACP5', 'ACTN4', 'ADAM15', 'AMBN', 'AMIGO2', 'AMY2A', 'AMY2B', 'AOC1', 'BAIAP2', 'CAMKK1', 'CCL15', 'CCL20', 'CD276', 'CD63', 'CDH17', 'CES2', 'CLEC4C', 'CLUL1', 'CPA2', 'CRTAC1', 'CSF2RA', 'CTSH', 'ENPP7', 'FABP4', 'FBP1', 'FCN2', 'FCRL5', 'FOLR1', 'FOSB', 'GFAP', 'GFRA3', 'GGT5', 'GPA33', 'HBQ1', 'HCLS1', 'HDGF', 'HMBS', 'IFNGR1', 'IGF2R', 'IL17C', 'IL18RAP', 'IL2', 'IL22RA1', 'ILKAP', 'JCHAIN', 'KIR2DL3', 'KLB', 'KLK1', 'KLRD1', 'LEFTY2', 'LGALS1', 'LY96', 'MARCO', 'MDGA1', 'MET', 'MSTN', 'MUC13', 'MZB1', 'NCLN', 'NECTIN2', 'NINJ1', 'NOS1', 'NPTN', 'PCOLCE', 'PDGFC', 'PDGFRA', 'PM20D1', 'PODXL2', 'PRDX1', 'PRSS8', 'PRTG', 'PSPN', 'S100A16', 'SRP14', 'SSC5D', 'TDGF1', 'THPO', 'TMPRSS5', 'TMSB10', 'TNFRSF11A', 'TNFRSF13B', 'TNFRSF13C', 'TNFRSF4', 'TNFRSF8', 'TXNDC5', 'ULBP2', 'VEGFA', 'VWF', 'XPNPEP2']",89
Fold 73,"['ADAM15', 'ANGPTL2', 'ARNT', 'BAIAP2', 'C19orf12', 'CCL20', 'CES2', 'CRTAC1', 'CTSF', 'DSG4', 'FCGR2A', 'IKZF2', 'IL22RA1', 'KCNIP4', 'MSR1', 'MUC13', 'MZB1', 'NDRG1', 'NPTN', 'PPY', 'RANGAP1', 'SMOC2', 'SRP14', 'TFPI2', 'TNC', 'XPNPEP2', 'XRCC4']",27
Fold 74,"['ADAMTS15', 'AMY2A', 'AMY2B', 'ANGPTL7', 'ATP6V1D', 'B4GAT1', 'BAIAP2', 'C19orf12', 'CALB2', 'CCL19', 'CCL20', 'CD5', 'CDH17', 'CDHR1', 'CEACAM5', 'CES2', 'CHIT1', 'CNTN1', 'CPA2', 'CRTAC1', 'CTSH', 'DKKL1', 'DPT', 'DSG4', 'FABP4', 'FCGR2B', 'FGF21', 'FOSB', 'GAL', 'GH2', 'HLA-DRA', 'IFNGR2', 'IGF2R', 'IGFBPL1', 'IL11', 'IL16', 'IL33', 'INHBC', 'ISM1', 'KCNIP4', 'KIR2DL3', 'KLK1', 'KLK12', 'KLK14', 'LAMA4', 'LGALS9', 'LILRA5', 'LILRB1', 'MARCO', 'MDGA1', 'MUC13', 'MZB1', 'NOMO1', 'NPTN', 'NTRK3', 'PCSK9', 'PDGFC', 'PLA2G10', 'PM20D1', 'PON3', 'PPY', 'PTS', 'RAB6B', 'SELPLG', 'SPINT1', 'SSC5D', 'TDGF1', 'THBS2', 'TLR3', 'TMPRSS5', 'TNC', 'TSHB', 'XPNPEP2']",73
Fold 75,"['ADAM15', 'CCL19', 'CCL20', 'CDHR1', 'CRTAC1', 'CXCL8', 'DPT', 'ENPP7', 'FOSB', 'HLA-DRA', 'IGF2R', 'KLK10', 'MUC13', 'MZB1', 'NINJ1', 'NTRK3', 'PM20D1', 'PON3', 'RANGAP1', 'SMOC2', 'SOST', 'SSB', 'TDGF1', 'XPNPEP2', 'XRCC4']",25
Fold 76,"['ACTN4', 'ADAMTS13', 'ADAMTS15', 'ANGPTL2', 'AOC1', 'B4GAT1', 'BAIAP2', 'C19orf12', 'CAMKK1', 'CCL20', 'CD164', 'CD63', 'CDHR1', 'CES2', 'CHIT1', 'CLPS', 'CPA2', 'CRTAC1', 'CSTB', 'CTRB1', 'DKKL1', 'FABP1', 'FABP4', 'FASLG', 'FCGR2B', 'FCN2', 'FGF21', 'FOSB', 'GFAP', 'GFRA2', 'GGT5', 'HDGF', 'HEBP1', 'IFNGR1', 'IGF2R', 'IGFBPL1', 'IL11', 'IL17D', 'IL22RA1', 'IL33', 'KCNIP4', 'KLB', 'KLK12', 'LAMA4', 'LGALS1', 'LILRA5', 'LILRB1', 'LY96', 'MAGED1', 'MDGA1', 'MMP13', 'MUC13', 'MZB1', 'NCLN', 'NECTIN2', 'NPTN', 'PAEP', 'PDGFC', 'PIGR', 'PLAUR', 'PM20D1', 'PON3', 'PPY', 'PRSS8', 'RANGAP1', 'SELPLG', 'SIGLEC9', 'SPINT1', 'SRP14', 'SSC5D', 'TDGF1', 'THPO', 'TMPRSS5', 'TNFRSF11A', 'TNFRSF13B', 'TNFRSF13C', 'TNFRSF4', 'TNFRSF8', 'TPT1', 'XPNPEP2']",80
Fold 77,"['CCL20', 'CCL7', 'CRTAC1', 'HDGF', 'LGALS1', 'MZB1', 'NOMO1', 'TFPI2', 'TNC']",9
Fold 78,"['ACAN', 'AMY2A', 'AMY2B', 'B4GAT1', 'CASP1', 'CCL15', 'CCL17', 'CCL19', 'CD63', 'CDH17', 'CDHR1', 'CEACAM5', 'CHIT1', 'CPA2', 'CPM', 'CRTAC1', 'CTRB1', 'CTSH', 'CXCL8', 'DKKL1', 'FBP1', 'FCGR2B', 'FCRL5', 'FGF21', 'FOSB', 'GFOD2', 'GFRA2', 'HLA-DRA', 'IFNGR2', 'IGF2R', 'IL13', 'IL2', 'IL2RA', 'IL33', 'ISM1', 'KCNIP4', 'KLK1', 'LAMA4', 'LY96', 'MDGA1', 'MSLN', 'MUC13', 'MZB1', 'NCF2', 'NCLN', 'NINJ1', 'NPTN', 'NPY', 'NTF4', 'PDGFC', 'PLAU', 'RANGAP1', 'S100A11', 'SIGLEC9', 'SMOC2', 'SPINK6', 'SPINT1', 'SRP14', 'TDGF1', 'THBS2', 'THPO', 'TMPRSS5', 'TNC', 'TNFRSF8', 'TSHB', 'XPNPEP2']",66
Fold 79,"['ADAM15', 'ADAMTS13', 'ADGRG2', 'AFP', 'AHSP', 'AMBP', 'AOC1', 'BAIAP2', 'C4BPB', 'CCL20', 'CD38', 'CES2', 'CLSPN', 'CLSTN2', 'CNTN4', 'CPE', 'CRTAC1', 'CRX', 'CXCL14', 'FCN2', 'FCRL5', 'FOSB', 'GFAP', 'GFOD2', 'GGT1', 'GPA33', 'HDGF', 'HMBS', 'IL17C', 'IL5', 'ISLR2', 'JCHAIN', 'KIR2DL3', 'KLRD1', 'L1CAM', 'LAIR2', 'LEP', 'LILRA5', 'LILRB1', 'LRRC25', 'LYPD1', 'LYPD8', 'MARCO', 'MDGA1', 'MET', 'MZB1', 'NDRG1', 'NRP1', 'NRP2', 'PKLR', 'PLA2G7', 'POLR2F', 'PON3', 'PRL', 'PSIP1', 'RASA1', 'S100A16', 'SAMD9L', 'SCARA5', 'SCARB1', 'SIGLEC9', 'SLC39A5', 'SMOC2', 'SRP14', 'SSB', 'TDGF1', 'TFRC', 'THPO', 'TMSB10', 'TNFRSF11A', 'TNFRSF13B', 'TNFRSF13C', 'TNFRSF8', 'TPT1', 'TSLP', 'XG', 'XPNPEP2']",77
Fold 80,"['ACP5', 'ANGPTL2', 'ANGPTL3', 'ANXA3', 'AOC1', 'BAIAP2', 'CCL20', 'CD164', 'CD200', 'CD22', 'CD276', 'CD38', 'CD5', 'CD63', 'CDHR1', 'CDHR2', 'CES2', 'CHIT1', 'CPPED1', 'CRTAC1', 'CSF2RA', 'CSTB', 'DKKL1', 'DLL1', 'DNAJB1', 'DPT', 'DSG4', 'ENPP7', 'FASLG', 'FCN2', 'FCRL5', 'FOSB', 'GFOD2', 'GFRA2', 'GGT5', 'GH2', 'GPA33', 'HCLS1', 'HDGF', 'IFNGR1', 'IFNGR2', 'IGF2R', 'IL11', 'IL22RA1', 'IL24', 'IL32', 'IL33', 'KCNIP4', 'KIR2DL3', 'KLB', 'KLK10', 'KLRD1', 'LAMA4', 'LGALS9', 'LILRA5', 'LILRB1', 'LRP1', 'LRP11', 'LRPAP1', 'LYPD1', 'MAGED1', 'MARCO', 'MDGA1', 'MET', 'MMP13', 'MUC13', 'MUC16', 'MZB1', 'NCLN', 'NINJ1', 'NOMO1', 'NOS1', 'NPTN', 'NPTXR', 'NTRK3', 'PCOLCE', 'PDGFC', 'PDGFRA', 'PM20D1', 'PON2', 'PON3', 'PPP3R1', 'PPY', 'PRSS8', 'PTH1R', 'S100A16', 'SCGN', 'SDC1', 'SELPLG', 'SERPINA9', 'SIGLEC9', 'SMOC2', 'SPINT1', 'SRP14', 'SSC5D', 'TDGF1', 'TFPI2', 'THPO', 'TMPRSS5', 'TNFRSF13B', 'TNFRSF13C', 'TNFRSF4', 'TNFRSF8', 'TP53INP1', 'TPT1', 'TRAF2', 'TXLNA', 'XPNPEP2']",108
Fold 81,"['ACE2', 'ADAM15', 'ADAMTS15', 'ADAMTS16', 'ADGRG1', 'AMY2A', 'AMY2B', 'ANGPTL3', 'ANXA3', 'ATP6V1D', 'BAIAP2', 'C19orf12', 'CASP1', 'CCL15', 'CCL19', 'CD48', 'CDHR1', 'CEACAM21', 'CEACAM5', 'CHI3L1', 'CHIT1', 'CLEC4G', 'COL6A3', 'COLEC12', 'CPA1', 'CPVL', 'CRH', 'CRISP2', 'CRTAC1', 'CTSH', 'CTSS', 'CXCL8', 'DKKL1', 'DPT', 'DSG4', 'FCGR2B', 'FGF21', 'FOLR3', 'FOSB', 'GFRA2', 'GGT1', 'GGT5', 'GH2', 'HCLS1', 'HLA-DRA', 'IGF2R', 'IGFBPL1', 'IKZF2', 'IL13', 'IL2RB', 'ISM1', 'KCNIP4', 'KIR2DL3', 'KLK1', 'KLK10', 'KRT5', 'LAMA4', 'LILRB1', 'LRIG1', 'LTA4H', 'LY9', 'MAGED1', 'MAPT', 'MARCO', 'MASP1', 'MDGA1', 'MET', 'MICB_MICA', 'MILR1', 'MME', 'MMP1', 'MSLN', 'MUC13', 'MZB1', 'NCAN', 'NCLN', 'NELL1', 'NINJ1', 'NPTN', 'NPY', 'NRP1', 'NTF3', 'NTRK3', 'NXPH1', 'PIGR', 'PLAUR', 'PM20D1', 'PON3', 'PPY', 'PRSS8', 'PTH1R', 'RAB6B', 'RANGAP1', 'REN', 'SCGB1A1', 'SH2D1A', 'SIGLEC10', 'SIGLEC7', 'SIGLEC9', 'SIRT5', 'SMOC2', 'SPINK6', 'SPINT1', 'TDGF1', 'THPO', 'TLR3', 'TNC', 'TNFRSF11A', 'TNFRSF8', 'TSHB', 'TSLP', 'VAMP5', 'WFIKKN1', 'WIF1', 'XPNPEP2']",115
Fold 82,"['ACTN4', 'ADAM15', 'ADAMTS15', 'AMIGO2', 'AMY2A', 'AOC1', 'APEX1', 'BAIAP2', 'BSG', 'CCL15', 'CCL19', 'CCL20', 'CD276', 'CD5', 'CD79B', 'CDHR1', 'CHIT1', 'CHL1', 'COPE', 'CPA2', 'CRELD2', 'CRHR1', 'CRTAC1', 'CSF2RA', 'CSTB', 'CTRB1', 'CTSF', 'CXCL8', 'DKKL1', 'DLL1', 'DPT', 'ENPP7', 'EPCAM', 'ERBB4', 'EREG', 'FABP4', 'FASLG', 'FBP1', 'FCN2', 'FGF21', 'FKBP5', 'FOSB', 'GFAP', 'GFRA2', 'GFRA3', 'GGT5', 'GPA33', 'GPC5', 'HBQ1', 'HCLS1', 'HDGF', 'HLA-DRA', 'IGF2R', 'IL11', 'IL13', 'IL13RA1', 'IL17D', 'IL17F', 'IL17RB', 'IL18RAP', 'IL1RAP', 'IL2RA', 'KCNIP4', 'KLB', 'KLK12', 'LAMA4', 'LGALS1', 'LILRB1', 'LRP11', 'LY96', 'LYPD1', 'MATN2', 'MDGA1', 'MET', 'MILR1', 'MSR1', 'MUC13', 'MZB1', 'NCLN', 'NOMO1', 'NOS1', 'NPTN', 'NPY', 'PCOLCE', 'PDGFC', 'PIGR', 'PLA2G10', 'PM20D1', 'PODXL2', 'PON3', 'PPY', 'PRKRA', 'PRSS8', 'PSIP1', 'RANGAP1', 'RARRES1', 'S100A16', 'SCP2', 'SELPLG', 'SMOC2', 'SOD2', 'SPINT1', 'SRP14', 'SSB', 'TDGF1', 'TFPI2', 'TFRC', 'THPO', 'TMPRSS5', 'TMSB10', 'TNC', 'TNFRSF13B', 'TNFRSF13C', 'TNFRSF4', 'TNFRSF8', 'TPT1', 'TRIAP1', 'VWA1', 'XPNPEP2', 'XRCC4']",120
Fold 83,"['LGALS1', 'LGALS9', 'MZB1', 'PON3']",4
Fold 84,"['ADAM15', 'ADAMTS13', 'ADAMTS15', 'ANGPTL2', 'AOC1', 'B4GAT1', 'BAIAP2', 'CALB2', 'CAPG', 'CCL20', 'CEACAM3', 'CES2', 'CLUL1', 'CNTN1', 'CNTN2', 'CNTNAP2', 'CPE', 'CRTAC1', 'CSF1', 'CSTB', 'CTSF', 'DKKL1', 'DSG2', 'EGLN1', 'ERBB4', 'FABP4', 'FBP1', 'FCAR', 'FCN2', 'GFAP', 'GFRA2', 'GGT1', 'HEBP1', 'HLA-DRA', 'IFNGR2', 'IGF2R', 'IL16', 'IL17C', 'IL22RA1', 'IL2RA', 'IL33', 'IL5', 'KLK1', 'LEP', 'LGALS1', 'LILRA5', 'LRIG1', 'LRPAP1', 'LSP1', 'LTO1', 'LY96', 'LYPD1', 'LYPD3', 'MDGA1', 'MLN', 'MSLN', 'MSTN', 'MUC13', 'MZB1', 'NFATC3', 'NPTN', 'NPTXR', 'NTF4', 'NTRK3', 'OMG', 'PAEP', 'PCOLCE', 'PDGFC', 'PIGR', 'PLIN1', 'PODXL2', 'PPY', 'PRL', 'PSIP1', 'PTPRM', 'RANGAP1', 'SMPDL3A', 'SPINK6', 'SPINT1', 'SRP14', 'SSC5D', 'TFPI2', 'THPO', 'TMPRSS5', 'TMSB10', 'TNFRSF11A', 'TNFRSF8', 'ULBP2', 'VWF', 'XPNPEP2']",90
Fold 85,"['ACE2', 'ACP6', 'ADAM15', 'ADAMTS13', 'ADAMTS15', 'ADCYAP1R1', 'ADGRG1', 'AKR1C4', 'AMY2B', 'ANGPTL2', 'ANGPTL3', 'ANXA10', 'ANXA3', 'ANXA5', 'AOC1', 'ARID4B', 'ATP6V1D', 'B4GAT1', 'BAIAP2', 'BSG', 'CCL17', 'CCL20', 'CD164', 'CD177', 'CD5', 'CD63', 'CES2', 'CHIT1', 'CHL1', 'COL4A1', 'COL6A3', 'CRTAC1', 'CRX', 'CSTB', 'CTRB1', 'CTSL', 'CXCL14', 'CXCL8', 'DFFA', 'DKKL1', 'DLL1', 'DPT', 'DPY30', 'DSG4', 'ECE1', 'ENAH', 'ENPP7', 'EREG', 'FABP4', 'FCGR2B', 'FCGR3B', 'FCN2', 'FCRL5', 'FCRLB', 'FGF5', 'FOSB', 'FST', 'GFRA2', 'GGT5', 'GH2', 'GPA33', 'GUCA2A', 'HDGF', 'HEBP1', 'HLA-DRA', 'ICAM1', 'ICAM3', 'IFNGR1', 'IFNGR2', 'IGF2R', 'IGFBPL1', 'IKBKG', 'IL16', 'IL17C', 'IL17D', 'IL22RA1', 'IL2RA', 'IL2RB', 'ILKAP', 'IPCEF1', 'ISLR2', 'ISM1', 'KCNIP4', 'KITLG', 'KLK1', 'KLK10', 'KLK12', 'KLRB1', 'LAMA4', 'LGALS1', 'LILRB1', 'LRIG1', 'LRP1', 'LRPAP1', 'LY96', 'LYPD1', 'MAP4K5', 'MAPK9', 'MDGA1', 'MET', 'MGMT', 'MME', 'MMP13', 'MSLN', 'MUC13', 'MZB1', 'NAMPT', 'NCLN', 'NELL2', 'NINJ1', 'NOMO1', 'NPTN', 'NPY', 'NTF4', 'PAG1', 'PDGFC', 'PDGFRA', 'PLA2G1B', 'PLAUR', 'PM20D1', 'PNLIPRP2', 'PODXL2', 'PON2', 'PON3', 'PPP3R1', 'PPY', 'PRKRA', 'PSIP1', 'PTH1R', 'RANGAP1', 'RASSF2', 'SCGN', 'SERPINB6', 'SIGLEC9', 'SLITRK6', 'SMPDL3A', 'SPINK6', 'SPINT1', 'SRP14', 'SSC5D', 'STC2', 'STX8', 'TDGF1', 'TFPI2', 'TFRC', 'THBS2', 'THPO', 'TIMP3', 'TLR3', 'TMPRSS5', 'TNC', 'TNFRSF11A', 'TNFRSF13C', 'TNFRSF4', 'TNFRSF8', 'TSHB', 'TXLNA', 'ULBP2', 'VAMP5', 'VSTM2L', 'XPNPEP2', 'XRCC4']",162
Fold 86,[],0
Fold 87,"['ABL1', 'ACE2', 'ADAMTS13', 'AFP', 'AKR1C4', 'AMIGO2', 'ANGPTL2', 'AOC1', 'APEX1', 'B4GAT1', 'BAIAP2', 'BST1', 'BTN3A2', 'C19orf12', 'C4BPB', 'CA6', 'CCL20', 'CCL7', 'CD79B', 'CDH17', 'CHIT1', 'CLEC4G', 'COL4A1', 'COPE', 'CPA2', 'CRTAC1', 'CSF2RA', 'CTSH', 'CXCL8', 'DEFA1_DEFA1B', 'DKKL1', 'DLL1', 'DPP6', 'DPT', 'DPY30', 'DSG4', 'EPCAM', 'EPHA10', 'FBP1', 'FCN2', 'FGF21', 'FKBP5', 'FOSB', 'GDF15', 'GFAP', 'GFRA2', 'GFRA3', 'GGH', 'GGT1', 'GGT5', 'GLT8D2', 'GPA33', 'GPC5', 'GPKOW', 'HBQ1', 'HSPB6', 'ICAM1', 'IGF2R', 'IL11', 'IL13', 'IL17A', 'IL17C', 'IL17F', 'IL1A', 'IL1RAP', 'IL22RA1', 'IL2RA', 'ISLR2', 'JUN', 'KCNIP4', 'KLB', 'KLK12', 'LGALS1', 'LILRB1', 'LTBP3', 'LY9', 'LY96', 'LYPD1', 'MCFD2', 'MDGA1', 'MET', 'MSR1', 'MUC13', 'MZB1', 'NCLN', 'NEFL', 'NOS1', 'NPTN', 'NPTXR', 'NPY', 'NTRK3', 'PAEP', 'PAPPA', 'PCOLCE', 'PDGFC', 'PIGR', 'PLAUR', 'PON3', 'PPY', 'PRDX1', 'PRDX3', 'PRKRA', 'PSIP1', 'PTPRM', 'RANGAP1', 'RARRES1', 'S100A16', 'SCP2', 'SIGLEC7', 'SIGLEC9', 'SLC16A1', 'SLC39A5', 'SMOC2', 'SPINT1', 'SRP14', 'SSB', 'SSC4D', 'STC1', 'TCL1A', 'TDGF1', 'TFPI2', 'THBS2', 'TNC', 'TNFRSF13B', 'TNFRSF8', 'TNFSF12', 'TPSAB1', 'TPT1', 'TSLP', 'TSPAN1', 'VNN2', 'VWA1', 'XPNPEP2', 'XRCC4']",134
Fold 88,[],0
Fold 89,"['ADAM15', 'ADAMTS15', 'ADGRG1', 'ANGPTL2', 'ANXA3', 'AOC1', 'ATP6V1D', 'B4GAT1', 'CCL15', 'CCL20', 'CCL23', 'CD177', 'CD300C', 'CD70', 'CDH17', 'CDH5', 'CDHR2', 'CEACAM5', 'CELA3A', 'CHI3L1', 'CHIT1', 'COL9A1', 'CPA2', 'CRTAC1', 'CSTB', 'CTRB1', 'CTSH', 'DKKL1', 'DPT', 'ENPP7', 'EPHA10', 'FABP4', 'FOSB', 'GNLY', 'GPA33', 'GZMA', 'HCLS1', 'HLA-DRA', 'IFNGR2', 'IGF2R', 'IL17RA', 'IL18RAP', 'ISM1', 'KCNIP4', 'KIR2DL3', 'KLK1', 'LGALS1', 'LYPD8', 'MDGA1', 'MICB_MICA', 'MSLN', 'MUC13', 'MZB1', 'NCLN', 'NRP2', 'PDGFC', 'PIGR', 'PM20D1', 'PON3', 'PRL', 'PTPRM', 'RANGAP1', 'S100A16', 'SCARB1', 'SCP2', 'SIGLEC10', 'SMOC2', 'SPINK1', 'SPINT1', 'SRP14', 'TDGF1', 'THPO', 'TMPRSS5', 'TMSB10', 'TNC', 'TNFRSF8', 'XPNPEP2']",77
Fold 90,"['CCL20', 'CES2', 'FOSB', 'LGALS1', 'MDGA1', 'MZB1', 'NDRG1', 'PON3', 'TMSB10', 'TNFRSF8']",10
